,MA1,MA2,MA3,MA4,MA5,MA6,MA7,MA8,MA9,MA10,DTA1,DTA2,DTA3,DTA4,DTA5,DTA6,DTA7,DTA8,DTA9,DTA10
CA1,6,6,9,2,8,2,8,8,1,8,6,8,8,6,8,1,8,6,4,3
CA2,6,4,3,2,8,4,5,3,4,3,4,9,2,8,8,8,2,4,8,9
CA3,1,8,1,3,6,1,2,5,7,1,1,8,6,8,6,7,9,3,8,1
CA4,7,9,5,2,6,7,9,2,6,2,6,5,6,1,8,2,9,7,8,6
CA5,6,6,5,6,9,9,6,2,9,8,5,1,1,7,1,6,5,3,7,6
CA6,1,5,7,6,8,3,8,3,3,5,6,3,2,2,7,1,9,6,4,9
CA7,8,9,9,6,5,9,5,5,9,1,9,6,4,7,5,2,2,5,5,9
CA8,7,5,6,8,7,8,6,4,7,5,9,2,7,2,2,1,3,2,8,2
CA9,2,4,3,8,1,6,7,1,6,4,7,3,3,9,6,1,3,1,1,3
CA10,6,8,6,1,4,3,5,1,9,5,3,2,8,9,8,5,2,4,7,5
CA11,3,1,7,8,4,1,8,1,5,9,2,8,7,4,5,6,3,7,5,5
CA12,7,1,4,4,8,8,6,1,9,5,5,3,8,1,7,1,4,1,6,4
CA13,1,8,8,8,6,9,8,6,3,2,4,2,1,9,6,5,3,8,7,5
